Common name,Lat_Min,Lat_Max,Lon_Min,Lon_Max,Year_Min,Year_Max,Count
Tree Sparrow,56.397539,57.697315,-3.245643,-1.7514060000000002,1984.0,2010.0,836
Treecreeper,56.191572,57.677434,-4.3624279999999995,-0.594061,1900.0,2010.0,462
Tufted Duck,55.923802,57.69731899999999,-4.314093,-1.7514060000000002,1960.0,2010.0,1581
Tundra Bean Goose,57.102495,57.283567000000005,-2.719842,-2.258371,2010.0,2010.0,6
Tundra Swan,57.315540000000006,57.616437,-1.9933419999999997,-1.8928580000000002,2008.0,2008.0,22
Turnstone,56.185331000000005,57.733227,-3.503566,-0.716286,1992.0,2010.0,761
Turtle Dove,57.09545,57.679345,-2.0924009999999997,-1.80968,1996.0,1996.0,10
Twite,56.762398,57.697274,-3.678743,-1.7763490000000002,1900.0,1995.0,192
Upland Sandpiper,57.58501700000001,57.661361,-1.918037,-1.892752,2008.0,2008.0,18
Velvet Scoter,56.762398,57.706555,-3.752121,-1.7514060000000002,1993.0,2010.0,298
Water Pipit,57.364965000000005,57.364965000000005,-1.960086,-1.960086,2008.0,2008.0,2
Water Rail,56.395441000000005,57.681819,-3.616599,-1.7846669999999998,1984.0,2010.0,350
Waxwing,56.523607,57.724166000000004,-3.766453,-1.7514060000000002,1900.0,2010.0,1004
Wheatear,56.627161,57.96416800000001,-4.414057,-1.7514060000000002,1900.0,2009.0,955
Whimbrel,56.7759,57.7,-3.7,-1.75141,1970.0,1989.0,647
Whinchat,56.626952,57.696977000000004,-3.678743,-1.7846669999999998,1900.0,2010.0,278
Whiskered Tern,57.616420999999995,57.625404,-1.926335,-1.876089,2008.0,2008.0,23
White Stork,57.184706999999996,57.643428,-2.415668,-1.8428740000000001,2002.0,2002.0,14
White Wagtail,56.21308199999999,57.679345,-2.719842,-1.7763490000000002,1995.0,2005.0,59
White's Thrush,57.212141,57.221146,-2.1754700000000002,-2.1589139999999998,2008.0,2008.0,5
White-billed Diver,57.131403000000006,57.652366,-2.059452,-1.8761189999999999,2007.0,2007.0,6
White-fronted Goose,56.25951,57.652390000000004,-3.678743,-1.8259459999999998,1900.0,2008.0,136
White-rumped Sandpiper,57.311075,57.652366,-1.9933439999999998,-1.8261599999999998,1985.0,1985.0,15
White-tailed Eagle,56.8,57.7,-3.7,-1.8,1990.0,2010.0,433
White-winged Black Tern,57.086454,57.625418999999994,-2.373585,-1.876089,2002.0,2009.0,33
Whitethroat,56.631066000000004,57.696977000000004,-3.678743,-1.7763490000000002,1900.0,2010.0,644
Whooper Swan,56.3,57.7,-3.9,-1.8,1900.0,2010.0,993
Wigeon,56.25951,57.717907999999994,-3.990077,-1.7514060000000002,1900.0,2010.0,1609
Willow Tit,57.138147,57.138147,-3.678743,-3.678743,1900.0,1960.0,1
Willow Warbler,56.25951,57.688033,-4.055042,-1.7514060000000002,1900.0,2010.0,1080
Wilson's Phalarope,57.32904,57.625404,-1.993341,-1.876089,1983.0,1984.0,10
Wood Sandpiper,56.9,57.6,-3.7,-1.8,1960.0,2010.0,243
Wood Warbler,56.937386,57.494975,-3.8300300000000003,-1.7514060000000002,1960.0,2008.0,82
Woodcock,56.393461,57.697322,-4.4253730000000004,-1.7514060000000002,1900.0,2010.0,688
Woodpecker,57.076292,57.516775,-3.5792330000000003,-2.340359,1995.0,1995.0,3
Woodpigeon,55.878003,57.697274,-4.965572,-1.7763490000000002,1900.0,2010.0,1846
Wren,54.826663,57.816866000000005,-4.344306,-1.7514060000000002,1900.0,2010.0,1417
Wryneck,56.798579000000004,57.652379,-3.678743,-1.8092119999999998,1900.0,2008.0,45
Yellow Wagtail,56.771537,57.661361,-2.654851,-1.792936,1995.0,1995.0,45
Yellow-browed Warbler,56.771435,57.696977000000004,-2.479415,-1.7933419999999998,2000.0,2000.0,109
Yellowhammer,56.369629,57.726197,-4.001005999999999,-1.7763490000000002,1900.0,2010.0,1198
